===== SHEET: Feed library (dims A1:J277) =====
Feed Name | Group | By default | Rate | DM | TDN | CP | Ca | P | Select/ tick
Maize Bran | Bran | No | 7 | 900 | 540 | 99 | 1.728 | 2.268 | 
Bengal Gram Bran | Bran | No | 4 | 900 | 495 | 36 | 0.864 | 1.944 | 
Wheat Bran | Bran | No | 11 | 900 | 585 | 144 | 1.08 | 3.996 | 
Maize Bran (HM) | Bran | No | 4 | 310 | 186 | 34.1 | 0.595 | 0.673 | 
Rice Bran- 16% oil | Bran | No | 10 | 900 | 765 | 126 | 0.432 | 6.804 | 
Rice Bran Deoiled | Bran | No | 9 | 900 | 540 | 153 | 0.432 | 5.724 | 
Blackgram Chunni | Chunni | No | 7 | 900 | 540 | 153 | 1.944 | 1.296 | 
Red gram chunni | Chunni | No | 11 | 900 | 540 | 153 | 2.16 | 1.26 | 
Tur Chunni | Chunni | No | 18 | 900 | 540 | 165 | 1.776 | 0.648 | 
Babul seed chunni | Chunni | No | 6 | 900 | 495 | 144 | 3.888 | 0.864 | 
Masoor Chunni | Chunni | No | 8 | 900 | 540 | 171 | 2.16 | 1.296 | 
Mung Chunni | Chunni | No | 9 | 900 | 540 | 177 | 2.376 | 1.944 | 
Urd Chunni | Chunni | No | 18 | 900 | 540 | 180 | 0.78 | 0.384 | 
Greengram chunni | Chunni | No | 8 | 900 | 540 | 153 | 2.64 | 0.9 | 
Bengalgram chunni | Chunni | No | 9 | 900 | 594 | 135 | 1.632 | 0.9 | 
Banas Hyprodaan | Compound Feed | No | 17 | 900 | 650 | 198 | 3.6 | 2.16 | 
KMF Bypass protein feed | Compound Feed | No | 12 | 900 | 648 | 225 | 3.6 | 2.7 | 
Cattle feed BIS-II | Compound Feed | No | 15 | 900 | 585 | 180 | 3.6 | 2.7 | 
Cattle feed BIS-I | Compound Feed | No | 16 | 900 | 648 | 198 | 3.6 | 2.7 | 
Bypass protein feed | Compound Feed | No | 17 | 900 | 648 | 225 | 3.6 | 2.7 | 
Buffalo feed | Compound Feed | No | 12 | 900 | 675 | 198 | 6.3 | 6.3 | 
Samrudhi Dan( Cattle feed) Mehsana | Compound Feed | No | 13.5 | 900 | 675 | 198 | 2.88 | 1.35 | 
KMF Cattle feed | Compound Feed | No | 11 | 900 | 585 | 180 | 3.6 | 2.7 | 
Calf feed | Compound Feed | No | 20 | 900 | 675 | 207 | 7.2 | 6.3 | 
Cattle feed below BIS | Compound Feed | No | 10 | 900 | 495 | 162 | 3.6 | 2.7 | 
Cattle Feed High Protein | Compound Feed | No | 22 | 900 | 720 | 225 | 3.6 | 2.7 | 
Soyabean meal | DOC/Meal | No | 19 | 900 | 720 | 477 | 1.404 | 2.7 | 
Kardi Meal | DOC/Meal | No | 7 | 900 | 495 | 207 | 1.296 | 2.592 | 
Sunflower meal | DOC/Meal | No | 14 | 900 | 594 | 279 | 2.16 | 3.996 | 
Coconut meal | DOC/Meal | No | 8 | 900 | 648 | 270 | 0.972 | 2.16 | 
Maize Gluten | DOC/Meal | No | 10 | 900 | 720 | 522 | 0.324 | 1.944 | 
G.nut meal | DOC/Meal | No | 12 | 900 | 702 | 396 | 1.188 | 2.592 | 
Rapeseed meal | DOC/Meal | No | 12 | 900 | 666 | 378 | 4.752 | 3.672 | 
Guar korma | DOC/Meal | No | 12 | 900 | 720 | 486 | 2.376 | 1.944 | 
Cottonseed meal | DOC/Meal | No | 11 | 900 | 702 | 369 | 1.296 | 2.808 | 
Guar Meal | DOC/Meal | No | 9 | 900 | 675 | 450 | 2.376 | 1.944 | 
Palm kernel meal | DOC/Meal | No | 8 | 900 | 540 | 180 | 1.512 | 1.944 | 
Maize Cake | DOC/Meal | No | 20 | 900 | 720 | 216 | 2.484 | 5.616 | 
Rice Bhardo/ Broken | Grain/Seed | No | 9 | 900 | 730 | 87 | 0.12 | 1.2 | 
Bengalgram grain | Grain/Seed | No | 30 | 900 | 675 | 162 | 1.128 | 1.32 | 
Black gram | Grain/Seed | No | 25 | 900 | 680 | 23.7 | 2.64 | 5.88 | 
Taramira seed | Grain/Seed | No | 23 | 950 | 880 | 280 | 1.56 | 2.7 | 
Dhaincha seeds (Sesbania) | Grain/Seed | No | 30 | 900 | 581 | 309 | 1.056 | 2.736 | 
Bajra bhardo/broken | Grain/Seed | No | 7.5 | 900 | 616 | 80 | 0.348 | 1.188 | 
Maize bhardo/broken | Grain/Seed | No | 10 | 900 | 713 | 85 | 0.132 | 1.068 | 
Wheat bhardo/broken | Grain/Seed | No | 9 | 900 | 697 | 117 | 0.348 | 1.296 | 
Greengram | Grain/Seed | No | 25 | 900 | 690 | 258 | 1.92 | 5.4 | 
Soya seeds | Grain/Seed | No | 24 | 900 | 820 | 378 | 1.596 | 2.208 | 
Ragi grain | Grain/Seed | No | 9 | 900 | 700 | 90 | 0.48 | 0.324 | 
Barley Bhardo/ Broken | Grain/Seed | No | 10 | 900 | 710 | 108 | 0.324 | 1.56 | 
Horse gram grain | Grain/Seed | No | 35 | 900 | 675 | 198 | 1.296 | 0.492 | 
Cowpea Seed | Grain/Seed | No | 20 | 900 | 594 | 240 | 0.468 | 1.8 | 
Methi Seeds (Fenugreek) | Grain/Seed | No | 30 | 900 | 607 | 240 | 1.056 | 1.98 | 
Whole Cotton Seed | Grain/Seed | No | 10 | 900 | 810 | 198 | 1.512 | 4.104 | 
Blackgram grain | Grain/Seed | No | 20 | 900 | 702 | 261 | 0.648 | 1.188 | 
Jowar grain | Grain/Seed | No | 8 | 900 | 720 | 78 | 0.216 | 1.08 | 
Rice grain | Grain/Seed | No | 9 | 900 | 738 | 81 | 0.108 | 1.188 | 
Barley Grain | Grain/Seed | No | 9 | 900 | 711 | 108 | 0.324 | 1.62 | 
Oat Grain | Grain/Seed | No | 8 | 900 | 657 | 99 | 0.432 | 1.296 | 
Wheat grain | Grain/Seed | No | 10 | 900 | 774 | 99 | 0.216 | 1.188 | 
Bajra grain | Grain/Seed | No | 9 | 900 | 684 | 108 | 0.54 | 1.62 | 
Maize grain | Grain/Seed | No | 11 | 900 | 792 | 81 | 0.108 | 1.512 | 
Grass Guinea | Grass | No | 0.8 | 200 | 110 | 22 | 0.624 | 0.24 | 
Grass Hybrid Napier | Grass | No | 0.8 | 200 | 110 | 20 | 0.648 | 0.24 | 
Grass Rye | Grass | No | 0.8 | 200 | 100 | 20 | 0.408 | 0.168 | 
Begharo Grass | Grass | No | 0.5 | 200 | 110 | 30 | 1.968 | 0.288 | 
Grass Elephant | Grass | No | 0.8 | 200 | 110 | 12 | 0.48 | 0.192 | 
Grass Para | Grass | No | 0.8 | 200 | 104 | 22 | 0.336 | 0.144 | 
Guar Grass | Grass | No | 0.5 | 200 | 104 | 24 | 2.736 | 0.204 | 
Grass- Sorg. Sudan | Grass | No | 0.5 | 300 | 165 | 24 | 1.548 | 1.476 | 
Dhaman Grass | Grass | No | 0.5 | 200 | 100 | 8 | 5.28 | 0.144 | 
Grasses | Grass | No | 0.8 | 200 | 100 | 8 | 0.384 | 0.144 | 
Gandhir Grass | Grass | No | 0.5 | 200 | 100 | 16 | 1.248 | 0.6 | 
Lano Grass | Grass | No | 0.5 | 200 | 110 | 30 | 1.512 | 0.336 | 
Lamp Grass | Grass | No | 0.5 | 200 | 100 | 12 | 0.504 | 0.192 | 
Dhrabal Grass | Grass | No | 0.5 | 200 | 100 | 16 | 1.032 | 0.144 | 
Puyadi Grass | Grass | No | 0.5 | 200 | 100 | 10 | 0.72 | 0.12 | 
Liyar Grass | Grass | No | 0.5 | 200 | 104 | 24 | 2.736 | 0.24 | 
Uein Grass | Grass | No | 0.5 | 200 | 110 | 32 | 3.24 | 0.36 | 
Liber Waker Grass | Grass | No | 0.5 | 200 | 104 | 20 | 10.992 | 0.216 | 
Pillipesara | Grass | No | 1 | 200 | 112.62 | 33.28 | 1.814 | 0.209 | 
Rhodes grass | Grass | No | 0.8 | 200 | 110 | 16 | 0.252 | 0.24 | 
Johnson grass | Grass | No | 0.8 | 200 | 113.94 | 16.9 | 0.48 | 0.23 | 
